paper_id,title,journal_short,publication_year,institution_names,primary_topic,cited_by_count,citation_percentile,exact_math_density,broad_math_density
AOS_2023_0248,Learning sparse graphons and the generalized Kesten–Stigum threshold,AOS,2023,"Czech Academy of Sciences, Institute of Mathematics | Institute of Mathematics and Informatics | Princeton University",Advanced Graph Neural Networks,2,50.623883000000006,0.2207,0.4564
AOS_2023_0249,Dispersal density estimation across scales,AOS,2023,Centre de Recherche en Mathématiques de la Décision | Karlsruhe Institute of Technology | Université Paris Dauphine-PSL,Statistical Methods and Bayesian Inference,1,57.46791999999999,0.2567,0.2856
AOS_2023_0251,Inference on the maximal rank of time-varying covariance matrices using high-frequency data,AOS,2023,"Berlin School of Economics and Law | Czech Academy of Sciences, Institute of Mathematics | Freie Universität Berlin | Humboldt-Universität zu Berlin",Random Matrices and Applications,1,61.035451,0.5304,0.449
AOS_2026_0252,Confounder selection via iterative graph expansion,AOS,2026,University of Cambridge | University of Michigan,Advanced Causal Inference Techniques,1,0.254777,0.1222,0.4219
AOS_2024_0254,Change acceleration and detection,AOS,2024,Queen's University | University of Illinois Urbana-Champaign,Advanced Statistical Process Monitoring,1,70.37037000000001,0.341,0.3785
AOS_2024_0255,Efficient and multiply robust risk estimation under general forms of dataset shift,AOS,2024,Michigan State University | University of Pennsylvania,Statistical Methods and Inference,1,73.472106,0.3747,0.3737
AOS_2023_0256,Testing nonparametric shape restrictions,AOS,2023,London School of Economics and Political Science | University of Manchester,Statistical Methods and Inference,0,0.354001,0.1424,0.3892
AOS_2025_0257,Kurtosis-based projection pursuit for matrix-valued data,AOS,2025,Institute of Mathematical Statistics | Numerical Method (China) | TU Wien | University of Helsinki | University of Turku,Blind Source Separation Techniques,0,0.067518,0.4555,0.4555
AOS_2026_0258,Near optimal sample complexity for matrix and tensor normal models via geodesic convexity,AOS,2026,Laboratoire d'Informatique de Paris-Nord | Ludwig-Maximilians-Universität München | Massachusetts Institute of Technology | University of Amsterdam | University of British Columbia | University of Waterloo,Tensor decomposition and applications,0,0.0,0.3982,0.33
AOS_2024_0259,Multivariate trend filtering for lattice data,AOS,2024,Carnegie Mellon University | Google (United States),Advanced Numerical Analysis Techniques,0,0.2040199999999999,0.241,0.2888
AOS_2023_0264,Optimal discriminant analysis in high-dimensional latent factor models,AOS,2023,Cornell University | University of Toronto,Gene expression and cancer classification,0,27.870998000000004,0.3973,0.514
AOS_2025_0265,Estimation and inference in distributional reinforcement learning,AOS,2025,Department of Mathematical Sciences | King University | Peking University | Shanghai University of Finance and Economics,Advanced Bandit Algorithms Research,0,0.1110569999999999,0.5184,0.4754
AOS_2023_0266,Robust high-dimensional tuning free multiple testing,AOS,2023,Princeton University | University of Pennsylvania | University of Pittsburgh,Statistical Methods in Clinical Trials,0,18.189356,0.4673,0.461
AOS_2024_0267,StarTrek: Combinatorial variable selection with false discovery rate control,AOS,2024,Harvard University,Machine Learning and Data Classification,0,1.971567,0.624,0.4794
AOS_2024_0268,"Estimation and inference for minimizer and minimum of convex functions: Optimality, adaptivity and uncertainty principles",AOS,2024,University of Pennsylvania,Advanced Control Systems Optimization,0,2.37546,0.0643,0.2982
AOS_2024_0271,Sharp adaptive and pathwise stable similarity testing for scalar ergodic diffusions,AOS,2024,Mathematical Institute of the Slovak Academy of Sciences | University of Freiburg,Statistical Methods and Inference,0,13.408373,0.628,0.5402
AOS_2024_0272,Majority vote for distributed differentially private sign selection,AOS,2024,New York University | Shanghai Jiao Tong University | Shanghai University of Finance and Economics,Privacy-Preserving Technologies in Data,0,14.663109999999998,0.3057,0.2948
AOS_2024_0273,Quantile processes and their applications in finite populations,AOS,2024,Indian Statistical Institute,Statistical Methods and Inference,0,21.060638,0.4744,0.4016
AOS_2024_0274,On the statistical complexity of sample amplification,AOS,2024,Courant Institute of Mathematical Sciences | Microsoft Research (United Kingdom) | Stanford University | University of Southern California,Neural Networks and Applications,0,21.719124,0.0643,0.3151
AOS_2025_0276,Ensemble projection pursuit for general nonparametric regression,AOS,2025,National University of Singapore,Sparse and Compressive Sensing Techniques,0,4.100157,0.2016,0.3151
AOS_2025_0277,Low coordinate degree algorithms I: Universality of computational thresholds for hypothesis testing,AOS,2025,Johns Hopkins University,Random Matrices and Applications,0,10.551664,0.2971,0.3075
AOS_2025_0278,Precise error rates for computationally efficient testing,AOS,2025,"Massachusetts Institute of Technology | University of California, Davis",Random Matrices and Applications,0,10.563723,0.3027,0.2552
AOS_2025_0284,A duality framework for analyzing random feature and two-layer neural networks,AOS,2025,Computer Algorithms for Medicine | King University | Peking University | Stanford University,Neural Networks and Applications,0,8.114588000000001,0.2703,0.4632
AOS_2025_0285,BELIEF in dependence: Leveraging atomic linearity in data bits for rethinking generalized linear models,AOS,2025,Harvard University | University of North Carolina at Chapel Hill,Statistical Methods and Inference,0,17.252458,0.1194,0.1695
AOS_2025_0287,Sparsity meets correlation in Gaussian sequence model,AOS,2025,University of Chicago,Fractal and DNA sequence analysis,0,16.535038,0.6034,0.4744
AOS_2025_0288,Improving knockoffs with conditional calibration,AOS,2025,"Stanford University | University of California, Berkeley",Statistical Methods in Clinical Trials,0,32.338969,0.1177,0.3371
AOS_2025_0289,Tests of missing completely at random based on sample covariance matrices,AOS,2025,University of Warwick,Random Matrices and Applications,0,32.343248,0.5709,0.5573
AOS_2025_0290,Spectral density estimation of function-valued spatial processes,AOS,2025,Medpace (United States) | University of Michigan–Ann Arbor,Soil Geostatistics and Mapping,0,33.297719,0.4464,0.5301
AOS_2025_0291,High-dimensional statistical inference for linkage disequilibrium score regression and its cross-ancestry extensions,AOS,2025,University of Pennsylvania,Genetic Associations and Epidemiology,0,68.10103,0.0534,0.2757
AOS_2025_0292,The functional graphical lasso,AOS,2025,"Board of the Swiss Federal Institutes of Technology | Czech Academy of Sciences, Institute of Mathematics | Institute of Mathematics and Informatics | Vienna University of Economics and Business | École Polytechnique Fédérale de Lausanne",Statistical Methods and Inference,0,66.890648,0.3376,0.399
AOS_2025_0293,Symmetry: A general structure in nonparametric regression,AOS,2025,Southern California University for Professional Studies | University of Cambridge,Statistical Methods and Inference,0,64.526336,0.1906,0.3471
AOS_2025_0295,Structured matrix learning under arbitrary entrywise dependence and estimation of Markov transition kernel,AOS,2025,Princeton University,Sparse and Compressive Sensing Techniques,0,56.986286,0.4434,0.336
AOS_2025_0297,Optimal sequencing depth for single-cell RNA-sequencing in Wasserstein space,AOS,2025,Chinese University of Hong Kong | University of British Columbia,Single-cell and spatial transcriptomics,0,63.748916,0.2061,0.2943
AOS_2025_0298,Clustering by hill-climbing: Consistency results,AOS,2025,George Mason University,Advanced Clustering Algorithms Research,0,83.964474,0.4775,0.3047
AOS_2025_0299,Online estimation with rolling validation: Adaptive nonparametric estimation with streaming data,AOS,2025,"Carnegie Mellon University | University of California, Santa Barbara",Stochastic Gradient Optimization Techniques,0,83.54123100000001,0.4107,0.4141
AOS_2025_0300,Causal effect estimation under network interference with mean-field methods,AOS,2025,Harvard University | University of Florida,Advanced Causal Inference Techniques,0,77.403191,0.4459,0.4072
AOS_2025_0303,"Fundamental limits of community detection from multi-view data: Multi-layer, dynamic and partially labeled block models",AOS,2025,Harvard University,Complex Network Analysis Techniques,0,69.435827,0.3229,0.4788
AOS_2025_0304,Semi-supervised U-statistics,AOS,2025,Carnegie Mellon University | Science North,Statistical Methods and Bayesian Inference,0,77.58805199999999,0.0849,0.518
AOS_2025_0305,Counterfactual inference in sequential experiments,AOS,2025,Cornell University | Harvard University | Massachusetts Institute of Technology | University of Michigan–Ann Arbor,Advanced Causal Inference Techniques,0,74.261871,0.0709,0.312
AOS_2026_0306,Solving the Poisson equation using coupled Markov chains,AOS,2026,Indian Institute of Technology Kanpur | Institut Polytechnique de Paris | Systems Analytics (United States) | University of Bristol,Markov Chains and Monte Carlo Methods,0,43.675676,0.2012,0.3286
AOS_2026_0309,Neural networks generalize on low complexity data,AOS,2026,Stanford University,Neural Networks and Applications,0,93.227612,0.2265,0.1994
AOS_2026_0310,Pseudo-Labeling for kernel ridge regression under covariate shift,AOS,2026,Columbia University,Face and Expression Recognition,0,93.433751,0.2389,0.4814
AOS_2026_0311,Multivariate root-n-consistent smoothing parameter-free matching estimators and estimators of inverse density weighted expectations,AOS,2026,Philipps University of Marburg | University of Rostock,Statistical Methods and Inference,0,94.112214,0.2963,0.3946
AOS_2026_0315,Berry–Esseen bounds for design-based causal inference with possibly diverging treatment levels and varying group sizes,AOS,2026,"University of California, Berkeley",Advanced Causal Inference Techniques,0,94.366197,0.4607,0.4002
AOS_2026_0316,Average partial effect estimation using double machine learning,AOS,2026,University of Cambridge,Statistical Methods and Inference,0,49.159918000000005,0.5643,0.4683
AOS_2026_0317,A computational transition for detecting correlated stochastic block models by low-degree polynomials,AOS,2026,Peking University,Random Matrices and Applications,0,94.550912,0.3743,0.5123
AOS_2026_0318,Information theoretic limits of robust sub-Gaussian mean estimation under star-shaped constraints,AOS,2026,Carnegie Mellon University | Science North,Statistical Methods and Inference,0,95.946579,0.6613,0.4106
AOS_2026_0320,Confounder selection via iterative graph expansion,AOS,2026,University of Cambridge | University of Michigan,Complexity and Algorithms in Graphs,0,94.538919,0.1222,0.4219
AOS_2026_0321,Optimal convex M-estimation via score matching,AOS,2026,Rutgers Sexual and Reproductive Health and Rights | University of Bath | University of Cambridge,Statistical Methods and Inference,0,94.689448,0.5278,0.4839
AOS_2026_0322,On the structural dimension of sliced inverse regression,AOS,2026,National University of Singapore | Tsinghua University,Statistical Methods and Inference,0,94.920342,0.3457,0.5414
AOS_2026_0323,Inferring the dependence graph density of binary graphical models in high dimension,AOS,2026,,Complex Network Analysis Techniques,0,96.899696,0.5052,0.4812
AOS_2026_0324,PCA for point processes,AOS,2026,Centre National de la Recherche Scientifique | Centre de Recherche en Mathématiques de la Décision | Laboratoire de Biologie et Modélisation de la Cellule | Université Paris Dauphine-PSL | École Normale Supérieure de Lyon | École Polytechnique Fédérale de Lausanne,Point processes and geometric inequalities,0,82.912866,0.0977,0.3418
AOS_2026_0325,Spectrum-aware debiasing: A modern inference framework with applications to principal components regression,AOS,2026,Harvard University,Random Matrices and Applications,0,95.433338,0.4302,0.4616
AOS_2026_0326,Optimal eigenvalue shrinkage in the semicircle limit,AOS,2026,New York University | Stanford University,Random Matrices and Applications,0,95.673689,0.4568,0.4538
AOS_2026_0328,Estimation of grouped time-varying network vector autoregressive models,AOS,2026,Monash University | University of Chicago | University of Macau | Zhejiang University,Spatial and Panel Data Analysis,0,96.574902,0.0404,0.4384
AOS_2026_0329,Reviving pseudo-inverses: Asymptotic properties of large dimensional Moore–Penrose and ridge-type inverses with applications,AOS,2026,Delft University of Technology | Linköping University,Random Matrices and Applications,0,95.772657,0.5193,0.5419
AOS_2026_0331,Analysis of singular subspaces under random perturbations,AOS,2026,,Random Matrices and Applications,0,97.7813,0.0805,0.4913
AOS_2026_0333,Large-scale multiple testing: Fundamental limits of false discovery rate control and compound oracle,AOS,2026,Yale University,Statistical Methods in Clinical Trials,0,95.956454,0.2697,0.4765
AOS_2026_0334,Eigenvector overlaps in large sample covariance matrices and nonlinear shrinkage estimators,AOS,2026,Nanyang Technological University,Random Matrices and Applications,0,95.970592,0.3384,0.4346
AOS_2026_0336,Precise asymptotics of bagging regularized M-estimators,AOS,2026,Cambridge Econometrics (United Kingdom) | Chinese University of Hong Kong | Rutgers Sexual and Reproductive Health and Rights | Stanford University | The University of Texas at Austin | University of Hong Kong,Statistical Methods and Inference,0,95.998869,0.155,0.4088
AOS_2026_0337,Finite- and large sample inference for model and coefficients in high-dimensional linear regression with repro samples,AOS,2026,Rutgers Sexual and Reproductive Health and Rights | University of Cincinnati,Statistical Methods and Inference,0,96.013007,0.4846,0.462
AOS_2026_0338,Adaptive Bayesian regression on data with low intrinsic dimensionality,AOS,2026,Duke University,Gaussian Processes and Bayesian Inference,0,96.454397,0.4955,0.459
AOS_2026_0339,Object detection under the linear subspace model with application to cryo-EM images,AOS,2026,Data Management (Italy) | Tel Aviv University,Advanced Electron Microscopy Techniques and Applications,0,75.27010800000001,0.3428,0.3775
AOS_2026_0340,Versatile differentially private learning for general loss functions,AOS,2026,King University | Peking University | Tsinghua University,Privacy-Preserving Technologies in Data,0,96.53623,0.0785,0.2596
AOS_2026_0341,Generalized linear spectral statistics of high-dimensional sample covariance matrices and its applications,AOS,2026,University of Science and Technology of China,Random Matrices and Applications,0,96.15439,0.1147,0.3369
AOS_2026_0342,Parameter identification in linear non-Gaussian causal models under general confounding,AOS,2026,,Bayesian Modeling and Causal Inference,0,98.363488,0.3896,0.3175
BIO_2023_0347,Causal inference with misspecified exposure mappings: separating definitions and assumptions,BIO,2023,Yale University,Advanced Causal Inference Techniques,24,98.161612,0.3084,0.3212
BIO_2023_0348,Deep Kronecker network,BIO,2023,City University of Hong Kong | University of Hong Kong,Tensor decomposition and applications,22,95.729537,0.0993,0.3268
BIO_2024_0349,Debiasing Welch’s method for spectral density estimation,BIO,2024,Imperial College London | University of Western Australia,Blind Source Separation Techniques,19,97.207475,0.0372,0.2072
BIO_2023_0350,Efficient estimation under data fusion,BIO,2023,University of Washington,Advanced Causal Inference Techniques,18,96.989169,0.3108,0.4514
BIO_2023_0354,Covariate-adjusted log-rank test: guaranteed efficiency gain and universal applicability,BIO,2023,Eli Lilly (United States) | University of Washington | University of Wisconsin–Madison,Statistical Methods in Clinical Trials,12,95.264249,0.0858,0.4946
BIO_2024_0355,Variance-based sensitivity analysis for weighting estimators results in more informative bounds,BIO,2024,"University of California, Berkeley | Yale University",Advanced Causal Inference Techniques,10,97.340557,0.2731,0.2527
BIO_2024_0356,Consistency of common spatial estimators under spatial confounding,BIO,2024,Johns Hopkins Medicine | Johns Hopkins University,Spatial and Panel Data Analysis,8,97.259235,0.2389,0.2379
BIO_2024_0357,Promises of parallel outcomes,BIO,2024,University of Connecticut | University of Toronto,"Health Systems, Economic Evaluations, Quality of Life",6,96.055579,0.2533,0.2923
BIO_2023_0359,Semiparametric counterfactual density estimation,BIO,2023,Carnegie Mellon University,Advanced Causal Inference Techniques,18,96.284397,0.189,0.2864
BIO_2023_0360,Targeted optimal treatment regime learning using summary statistics,BIO,2023,North Carolina State University,Advanced Causal Inference Techniques,16,96.46344,0.0115,0.4031
BIO_2023_0361,Statistical inference for streamed longitudinal data,BIO,2023,"North Carolina State University | University of California, Berkeley | University of Iowa",Statistical Methods and Inference,15,96.358915,0.0134,0.35
BIO_2023_0363,Proximal mediation analysis,BIO,2023,Ghent University | Johns Hopkins University | University of Pennsylvania,Advanced Causal Inference Techniques,11,93.596801,0.2726,0.384
BIO_2024_0365,Covariate adjustment in randomized experiments with missing outcomes and covariates,BIO,2024,"Duke University | University of California, Berkeley",Statistical Methods and Bayesian Inference,11,97.656982,0.3901,0.5394
BIO_2023_0366,Semiparametric efficient G-estimation with invalid instrumental variables,BIO,2023,Columbia University | National University of Singapore | University of Pennsylvania,Advanced Causal Inference Techniques,10,92.745118,0.0448,0.3216
BIO_2023_0367,Universal robust regression via maximum mean discrepancy,BIO,2023,University of Bristol | École Supérieure des Sciences Économiques et Commerciales,Advanced Statistical Methods and Models,9,90.06595,0.4447,0.4358
BIO_2024_0370,Improving randomized controlled trial analysis via data-adaptive borrowing,BIO,2024,Eli Lilly (United States) | North Carolina State University,Advanced Causal Inference Techniques,7,95.621768,0.1263,0.4256
BIO_2024_0371,Network-adjusted covariates for community detection,BIO,2024,National University of Singapore | Southern Methodist University,Complex Network Analysis Techniques,6,82.834232,0.0643,0.1431
BIO_2024_0372,Selective conformal inference with false coverage-statement rate control,BIO,2024,Nankai University | Shanghai Jiao Tong University,Statistical Methods and Inference,6,94.495232,0.4331,0.4302
BIO_2024_0373,Individualized dynamic latent factor model for multi-resolutional data with application to mobile health,BIO,2024,"Irvine University | Purdue University West Lafayette | University of California, Irvine",Statistical Methods and Inference,5,93.538537,0.0768,0.2084
BIO_2023_0377,Hybrid confidence intervals for informative uniform asymptotic inference after model selection,BIO,2023,University of Colorado Boulder | University of Colorado System,Statistical Methods and Inference,4,75.173413,0.0243,0.3495
BIO_2023_0379,Nonparametric priors with full-range borrowing of information,BIO,2023,Bocconi University,Bayesian Methods and Mixture Models,4,76.09017999999999,0.2383,0.3457
BIO_2024_0415,Partially factorized variational inference for high-dimensional mixed models,BIO,2024,Bocconi University | The University of Texas at Austin,Statistical Methods and Inference,4,90.988014,0.253,0.2371
BIO_2025_0449,The inverse Kalman filter,BIO,2025,"University of California, Santa Barbara",Inertial Sensor and Navigation,1,94.664016,0.0537,0.1831
BIO_2025_0501,Dynamic factor analysis of high-dimensional recurrent events,BIO,2025,Columbia University | London School of Economics and Political Science | Stanford University,Advanced Statistical Modeling Techniques,1,79.398123,0.4842,0.474
BIO_2025_0502,Bias correction of quadratic spectral estimators,BIO,2025,Imperial College London | The University of Western Australia,Image and Signal Denoising Methods,1,76.284078,0.0346,0.3165
BIO_2025_0503,Infinite joint species distribution models,BIO,2025,Duke University | Statistical and Applied Mathematical Sciences Institute,Species Distribution and Climate Change,1,88.74988,0.0974,0.2321
BIO_2025_0505,Robust universal inference for misspecified models,BIO,2025,Carnegie Mellon University,Bayesian Modeling and Causal Inference,1,91.18437,0.1726,0.2863
BIO_2023_0506,Median regularity and honest inference,BIO,2023,Carnegie Mellon University,Statistical Methods and Inference,1,57.66514299999999,0.0984,0.3424
BIO_2023_0507,Interpolating discriminant functions in high-dimensional Gaussian latent mixtures,BIO,2023,Cornell University | University of Toronto,Bayesian Methods and Mixture Models,1,53.784517,0.2311,0.416
BIO_2023_0516,Statistical summaries of unlabelled evolutionary trees,BIO,2023,Stanford University,Genomics and Phylogenetic Studies,0,23.058203,0.2779,0.2266
BIO_2023_0519,Familial inference: tests for hypotheses on a family of centres,BIO,2023,Monash University | The Ohio State University,Bayesian Methods and Mixture Models,0,15.83576,0.2531,0.2625
BIO_2024_0526,Semiparametric efficiency gains from parametric restrictions on propensity scores,BIO,2024,Massachusetts Institute of Technology,Advanced Causal Inference Techniques,0,10.36847,0.3163,0.4777
BIO_2026_0527,Functional Principal Component Analysis for Sparse Censored Data,BIO,2026,Duke University | North Carolina State University | Statistical and Applied Mathematical Sciences Institute,Spectroscopy and Chemometric Analyses,0,0.137741,0.009,0.2283
BIO_2024_0528,Skip sampling: subsampling in the frequency domain,BIO,2024,"United States Census Bureau | University of California, San Diego",Advanced Statistical Process Monitoring,0,12.574967,0.0,0.3235
BIO_2024_0531,Axiomatization of interventional probability distributions,BIO,2024,University College London,Bayesian Modeling and Causal Inference,0,11.310793,0.3195,0.2267
BIO_2024_0533,Boosting the power of kernel two-sample tests,BIO,2024,University of Pennsylvania,Advanced Statistical Methods and Models,0,16.843265,0.262,0.4694
BIO_2024_0536,Multiple conditional randomization tests for lagged and spillover treatment effects,BIO,2024,Stanford University | University of Cambridge,Advanced Causal Inference Techniques,0,18.837863,0.1487,0.3128
BIO_2024_0537,Inverting estimating equations for causal inference on quantiles,BIO,2024,Yale New Haven Health System | Yale University,Bayesian Modeling and Causal Inference,0,16.744265,0.1719,0.3729
BIO_2024_0538,The phase diagram of kernel interpolation in large dimensions,BIO,2024,Tsinghua University,Electromagnetic Scattering and Analysis,0,17.819649000000002,0.5044,0.4587
BIO_2025_0545,Continuous-time locally stationary wavelet processes,BIO,2025,Imperial College London | University of York,Image and Signal Denoising Methods,0,3.357775,0.0654,0.3164
BIO_2025_0546,A general condition for bias attenuation by a nondifferentially mismeasured confounder,BIO,2025,University of Pennsylvania | University of the Sciences,Distributed Sensor Networks and Detection Algorithms,0,6.185939,0.3503,0.2895
BIO_2025_0549,Exact sampling of spanning trees via fast-forwarded random walks,BIO,2025,Duke University | Palo Alto University | Stanford University | Statistical and Applied Mathematical Sciences Institute | University of Florida,Stochastic processes and statistical mechanics,0,12.109512,0.0765,0.1946
BIO_2025_0550,Towards a turnkey approach for unbiased Monte Carlo estimation of smooth functions of expectations,BIO,2025,ENSAE Paris | Torino e-district | University of Turin | University of Wollongong,Reservoir Engineering and Simulation Methods,0,9.163479,0.1779,0.3606
BIO_2025_0552,Predictive performance of power posteriors,BIO,2025,Monash University | University College London | University of Hong Kong,Statistical Methods and Inference,0,11.960861,0.3195,0.2665
BIO_2025_0553,Powerful partial conjunction hypothesis testing via conditioning,BIO,2025,Harvard University | Harvard University Press,Fault Detection and Control Systems,0,11.326997,0.3015,0.3306
BIO_2025_0554,Robust functional principal component analysis for non-Euclidean random objects,BIO,2025,Australian National University,Spectroscopy and Chemometric Analyses,0,12.709614,0.0804,0.1463
BIO_2025_0555,Modelling directed networks with reciprocity,BIO,2025,University of Warwick,Cooperative Communication and Network Coding,0,15.072765,0.0223,0.2031
BIO_2025_0556,Nonsense associations in Markov random fields with pairwise dependence,BIO,2025,Cancer Research And Biostatistics | Harvard University | Johns Hopkins University | University of Florida,Stochastic processes and statistical mechanics,0,17.683398,0.0927,0.345
BIO_2025_0557,Structural restrictions in local causal discovery: identifying direct causes of a target variable,BIO,2025,University Centre of Legal Medicine | University of Lausanne,Bayesian Modeling and Causal Inference,0,5.899534,0.3476,0.3418
BIO_2025_0558,A semiparametric instrumented difference-in-differences approach to policy learning,BIO,2025,Communication University of Zhejiang | Institute of Mathematical Statistics | University of Cambridge | Zhejiang University,Advanced Causal Inference Techniques,0,14.343237,0.0548,0.4598
BIO_2025_0559,Proximal indirect comparison,BIO,2025,Novo Nordisk (Denmark) | Novo Nordisk (Switzerland) | University of Copenhagen,Advanced Causal Inference Techniques,0,15.172707999999998,0.2024,0.345
BIO_2025_0561,Identifying and bounding the probability of necessity for causes of effects with ordinal outcomes,BIO,2025,"Beijing Technology and Business University | Renmin University of China | University of California, Berkeley",Forecasting Techniques and Applications,0,18.650196,0.5361,0.4707
BIO_2025_0562,Leveraging external data for testing experimental therapies with biomarker interactions in randomized clinical trials,BIO,2025,"Bocconi University | Cancer Research And Biostatistics | Harvard University | McLean Hospital | Merck & Co., Inc., Rahway, NJ, USA (United States) | University of Minnesota | University of Minnesota System",Statistical Methods in Clinical Trials,0,15.217116,0.0161,0.3428
BIO_2025_0568,Fast convergence of the expectation-maximization algorithm under a logarithmic Sobolev inequality,BIO,2025,University of Warwick,Mathematical Approximation and Integration,0,28.897994,0.2492,0.3486
BIO_2025_0572,Priors for second-order unbiased Bayes estimators,BIO,2025,The University of Tokyo | Tokyo University of Science,Advanced Statistical Methods and Models,0,27.134603,0.2365,0.4091
BIO_2025_0573,On the asymptotic validity of confidence sets for linear functionals of solutions to integral equations,BIO,2025,Cancer Research And Biostatistics | Harvard University | Universitat Ramon Llull | University of Washington,Industrial and Mining Safety,0,32.134923,0.2658,0.512
BIO_2026_0574,"Finding Distributions that Differ, with False Discovery Rate Control",BIO,2026,University of Pennsylvania,Advanced Statistical Process Monitoring,0,0.194986,0.1207,0.2505
BIO_2025_0575,On testing Kronecker product structure in tensor factor models,BIO,2025,London School of Economics and Political Science | University of Bristol,Tensor decomposition and applications,0,84.020619,0.0832,0.5004
BIO_2025_0578,Higher criticism for rare and weak non-proportional hazard deviations in survival analysis,BIO,2025,Brandman University | Herzliya Medical Center | Reichman University | Technion – Israel Institute of Technology,Statistical Methods and Inference,0,28.32196,0.3068,0.2713
BIO_2025_0579,Extremal correlation coefficient for functional data,BIO,2025,Colorado State University | West Virginia University,Statistical Methods and Inference,0,30.104455,0.2366,0.2897
BIO_2025_0580,Planning for gold: Hypothesis screening with split samples for valid powerful testing in matched observational studies,BIO,2025,Philadelphia University | University City Science Center | University of Pennsylvania | University of the Sciences | World Bank,Advanced Causal Inference Techniques,0,28.69919,0.0316,0.1821
BIO_2026_0581,Revisiting Madigan and Mosurski: Collapsibility via Minimal Separators,BIO,2026,Beijing Technology and Business University | Northeast Normal University | University of Science and Technology Beijing | Xinjiang University of Finance and Economics,Topological and Geometric Data Analysis,0,1.992795,0.0977,0.1015
BIO_2025_0582,Harnessing the collective wisdom: fusion learning using decision sequences from diverse sources,BIO,2025,Fudan University | University of Kansas | Yale University,Meta-analysis and systematic reviews,0,31.595168,0.0556,0.1864
BIO_2025_0583,Thinning a Wishart random matrix,BIO,2025,Cancer Research And Biostatistics | University of British Columbia | University of Southern California | University of Washington | Williams College,Random Matrices and Applications,0,31.159789,0.2463,0.2525
BIO_2025_0584,Asymptotic Validity and Finite-Sample Properties of Approximate Randomization Tests,BIO,2025,University of Chicago | University of Illinois Chicago | Woodlawn School,Statistical Methods and Inference,0,35.146587000000004,0.3175,0.3516
BIO_2025_0586,A frequentist local false discovery rate,BIO,2025,"Ellis University | University of California, Berkeley | University of Chicago | University of Illinois Chicago | University of Michigan",Statistical Methods in Clinical Trials,0,32.730047,0.0437,0.0408
BIO_2025_0587,High-dimensional covariance estimation by pairwise likelihood truncation,BIO,2025,Free University of Bozen-Bolzano | La Trobe University | MIT University | RMIT University,Statistical Methods and Inference,0,33.56504,0.2473,0.2621
BIO_2025_0588,Geodesic optimal transport regression,BIO,2025,"University of California, Davis | University of Notre Dame",Morphological variations and asymmetry,0,41.810651,0.126,0.3171
BIO_2026_0590,Parallel computations for Metropolis Markov chains with Picard maps,BIO,2026,Bocconi University,Markov Chains and Monte Carlo Methods,0,1.327072,0.2524,0.3044
BIO_2025_0591,Characteristic-function-based tests for spatial randomness,BIO,2025,ACT | University of Iowa,Point processes and geometric inequalities,0,52.183683,0.0246,0.3156
BIO_2025_0592,"Sparse higher-order partial least squares for simultaneous variable selection, dimension reduction and tensor denoising",BIO,2025,University of Wisconsin–Madison,Single-cell and spatial transcriptomics,0,55.19312600000001,0.0,0.2262
BIO_2025_0594,Tail-robust factor modelling of vector and tensor time series in high dimensions,BIO,2025,Durham University | University of Bologna | University of Bristol,Tensor decomposition and applications,0,65.262253,0.2969,0.3852
BIO_2026_0595,Calibrated sensitivity models,BIO,2026,Artificial Intelligence in Medicine (Canada) | Carnegie Mellon University,Advanced Causal Inference Techniques,0,15.741218000000002,0.0848,0.3254
BIO_2026_0597,On the consistency of bootstrap for matching estimators,BIO,2026,University of Washington,Advanced Causal Inference Techniques,0,30.075075,0.7272,0.6102
BIO_2026_0598,Testing for latent structure via the Wilcoxon--Wigner random matrix of normalized rank statistics,BIO,2026,University of Wisconsin–Madison,Random Matrices and Applications,0,61.082707,0.1126,0.2241
BIO_2026_0599,Assumption-lean post-integrated inference with surrogate-control outcomes,BIO,2026,Carnegie Mellon University | University of Hong Kong,Advanced Causal Inference Techniques,0,21.345421,0.3353,0.2942
BIO_2026_0600,Treatment choice with nonlinear regret,BIO,2026,Brown University | Columbia University | Cornell University,Advanced Causal Inference Techniques,0,26.899837,0.25,0.4059
BIO_2026_0602,Randomization-Based Confidence Sets for the Local Average Treatment Effect,BIO,2026,Columbia University | University of North Carolina at Chapel Hill | Yale University,Statistical Methods in Clinical Trials,0,82.611142,0.3925,0.4347
BIO_2026_0604,Parameterising the effect of a continuous treatment using average derivative effects,BIO,2026,Columbia University | Ghent University | Royal Statistical Society | Statistical Research (United States) | University College Ghent | University College London,Advanced Causal Inference Techniques,0,87.16606999999999,0.0484,0.3003
BIO_2026_0606,Design-based Causal Inference for Incomplete Block Designs,BIO,2026,"Columbia University | Environmental and Occupational Health Sciences Institute | Rutgers, The State University of New Jersey",Statistical Methods in Clinical Trials,0,87.331314,0.4705,0.5178
BIO_2026_0607,Inferring manifolds using Gaussian processes,BIO,2026,Duke University | The University of Texas at Dallas,Morphological variations and asymmetry,0,43.519022,0.2072,0.4376
BIO_2026_0608,Characterizing extremal dependence on a hyperplane,BIO,2026,Erasmus University Rotterdam,Financial Risk and Volatility Modeling,0,94.303797,0.4672,0.4507
BIO_2026_0609,Dynamic covariate balancing: estimating treatment effects over time with potential local projections,BIO,2026,,Advanced Causal Inference Techniques,0,98.301441,0.1235,0.3588
